,stories,points,comments
2026-05-18,13,137,106
2026-05-19,19,111,37
2026-05-20,23,394,211
2026-05-21,39,253,39
2026-05-22,29,633,388
2026-05-23,9,159,30
2026-05-24,11,25,3
2026-05-25,18,59,8
2026-05-26,13,457,243
2026-05-27,20,81,20
2026-05-28,18,69,6
2026-05-29,13,1046,1099
2026-05-30,9,840,87
2026-05-31,8,95,37
2026-06-01,16,831,1297
2026-06-02,30,1143,543
2026-06-03,23,268,71
2026-06-04,39,1467,692
2026-06-05,31,796,1308
2026-06-06,12,1944,517
2026-06-07,10,74,39
2026-06-08,15,49,7
2026-06-09,25,585,383
2026-06-10,26,212,149
